X.1,X,...1,Name,Address,prktype,restroom,Website,playground,soccer,basketball,tennis,volleyball,baseball,discgolf,dogpark,picnic,sprayground,latitude,longitude,Label,type2
67,67,74,Legion Park,"21214 LEGION ST CORNELIUS, NC 28031",Town Park,Yes,https://www.cornelius.org/103/Parks-Arts-Recreation-Culture,Yes,NA,NA,NA,NA,Yes,NA,NA,NA,NA,35.48749728,-80.86088292,,baseball
68,68,75,Smithville Park,"19710 FERRY ST CORNELIUS, NC 28031",Town Park,Yes,https://www.cornelius.org/103/Parks-Arts-Recreation-Culture,Yes,NA,NA,NA,NA,Yes,NA,NA,Yes,Yes,35.48218712,-80.86975887,,baseball
69,69,76,Torrence Chapel Park,"21309 TORRENCE CHAPEL RD CORNELIUS, NC 28031",Town Park,Yes,https://www.cornelius.org/103/Parks-Arts-Recreation-Culture,Yes,NA,Yes,Yes,NA,Yes,NA,NA,Yes,NA,35.49186041,-80.87831702,,baseball
72,73,80,Randolph Road Park,"201 BILLINGSLEY RD CHARLOTTE, NC 28205",Community,Yes,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,35.19060359,-80.80903629,,baseball
73,75,82,Westmoreland Athletic Complex,"8430 WESTMORELAND RD CORNELIUS, NC 28031",Town Park,Yes,https://www.cornelius.org/103/Parks-Arts-Recreation-Culture,Yes,NA,NA,NA,NA,Yes,NA,NA,Yes,NA,35.46148533,-80.88440406,,baseball
75,77,84,Renaissance Park,"1536 W TYVOLA RD CHARLOTTE, NC 28217",Regional,Yes,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,NA,NA,NA,NA,Yes,Yes,Yes,Yes,NA,NA,35.17509986,-80.90967776,,baseball
79,81,88,Biddleville Park,"500 ANDRILL TR CHARLOTTE, NC 28216",Neighborhood,No,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,NA,NA,Yes,NA,NA,Yes,NA,NA,NA,NA,35.24343061,-80.85031121,,baseball
83,86,93,Carmel Road Park,"2365 CARMEL RD CHARLOTTE, NC 28226",Neighborhood,Yes,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Yes,NA,Yes,Yes,NA,Yes,NA,NA,NA,NA,35.13450706,-80.8063646,,baseball
84,87,94,McEver Athletic Field,"626 SOUTH ST DAVIDSON, NC 28036",Town Park,Yes,https://www.ci.davidson.nc.us/130/Parks-Recreation,NA,NA,NA,NA,NA,Yes,NA,NA,Yes,NA,35.49103251,-80.84933584,,baseball
88,91,98,Olde Providence Park,"3800 REA RD CHARLOTTE, NC 28226",Community,No,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Yes,NA,Yes,NA,NA,Yes,NA,NA,NA,NA,35.10984728,-80.79843485,,baseball
91,94,101,T.M. Winget Park,"12025 WINGET RD CHARLOTTE, NC 28278",Regional,Yes,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Yes,NA,Yes,NA,Yes,Yes,Yes,NA,Yes,NA,35.13011102,-81.00153666,,baseball
96,99,106,Berewick Park,"5920 DIXIE RIVER RD CHARLOTTE, NC 28208",Regional,Yes,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Yes,NA,NA,NA,NA,Yes,NA,NA,NA,NA,35.17315788,-80.97881554,,baseball
104,107,114,Tuckaseegee Park,"4820 TUCKASEEGEE RD CHARLOTTE, NC 28208",Neighborhood,Yes,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Yes,NA,Yes,Yes,NA,Yes,NA,NA,NA,NA,35.24806972,-80.90678519,,baseball
118,121,131,Lakewood Park,"3207 KALYNNE ST CHARLOTTE, NC 28208",Neighborhood,No,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Yes,NA,Yes,NA,NA,Yes,NA,NA,NA,NA,35.25291206,-80.87844343,,baseball
132,137,147,Kilborne Park,"2600 KILBORNE DR CHARLOTTE, NC 28205",Community,Yes,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Yes,NA,NA,Yes,NA,Yes,Yes,NA,NA,NA,35.22185652,-80.77132357,,baseball
147,152,165,Huntersville Athletic Park,"11836 VERHOEFF DR HUNTERSVILLE, NC 28078",Town Park,Yes,https://www.huntersville.org/162/Parks-Recreation,Yes,NA,NA,NA,NA,Yes,NA,NA,NA,NA,35.3914994,-80.8470696,,baseball
159,165,179,Briarwood Park,"5349 WATERWOOD ST CHARLOTTE, NC 28215",Community,Yes,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Yes,NA,NA,NA,NA,Yes,NA,NA,NA,NA,35.25447129,-80.76666217,,baseball
160,166,180,William R. Davie Park,"4635 PINEVILLE-MATTHEWS RD CHARLOTTE, NC 28226",Regional,Yes,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Yes,NA,Yes,NA,Yes,Yes,NA,Yes,Yes,NA,35.08935388,-80.80600397,,baseball
168,174,188,Veterans Park,"2136 CENTRAL AV CHARLOTTE, NC 28205",Neighborhood,Yes,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Yes,NA,Yes,Yes,NA,Yes,NA,NA,Yes,Yes,35.21976866,-80.80493509,,baseball
